feature,mean_abs_shap,in_bank_key18
F3898,1.6381842,False
F3914,0.66680324,False
F3908,0.4864549,False
F3484,0.29145634,False
F3922,0.22383,False
F3805,0.1606893,False
F3841,0.1529631,False
F3811,0.1466087,False
F2581,0.14591335,False
F270,0.14222497,False
F1921,0.13291436,False
F3534,0.12599532,False
F3812,0.12367955,False
F3105,0.12216217,False
F3807,0.11970385,False
F366,0.115836285,False
F3873,0.11459358,False
F3810,0.112195954,False
F119,0.110417135,False
F364,0.10771812,False
F3493,0.102068715,False
F949,0.10059228,False
F126,0.09887424,False
F3108,0.09517084,False
F148,0.093571916,False
F2029,0.08751801,False
F1705,0.087080814,False
F3806,0.08502129,False
F62,0.08336874,False
F631,0.07918195,False
F3913,0.076785505,False
F2075,0.07607685,False
F3640,0.07493906,False
F1057,0.074566014,False
F2782,0.07447927,False
F2447,0.07430145,False
F2638,0.07361334,False
F950,0.07132678,False
F2291,0.07043892,False
F2344,0.06935675,False
F3526,0.064324416,False
F2356,0.06401583,False
F3753,0.06264557,False
F1920,0.061219793,False
F2582,0.061149318,True
F1922,0.06098457,False
F3830,0.058927562,False
F120,0.058369797,False
F2183,0.05674663,False
F1381,0.05644502,False
F2891,0.055853624,False
F3641,0.055660475,False
F369,0.05402329,False
F3799,0.053663258,False
F1930,0.05361379,False
F2738,0.05327932,False
F2388,0.052266482,False
F3499,0.05145611,False
F422,0.05141005,False
F365,0.05013331,False
F1597,0.04965336,False
F2489,0.04836645,False
F2182,0.04830403,False
F3813,0.0479529,False
F2293,0.04789169,False
F427,0.04693421,False
F3136,0.04676262,False
F2349,0.046647847,False
F1810,0.045410123,False
F1813,0.045238834,False
F3919,0.045020714,False
F3736,0.04331771,False
F1706,0.043303363,False
F1602,0.042850994,False
F2784,0.042157486,False
F3907,0.041489694,False
F3607,0.04108929,False
F1608,0.04072505,False
F1636,0.040382687,False
F2350,0.040305384,False
F3495,0.040287178,False
F3642,0.040223654,False
F2068,0.040089753,False
F2583,0.039929148,False
F2137,0.03928268,False
F3712,0.038518198,False
F3801,0.038235478,False
F1751,0.03815506,False
F1924,0.03796879,False
F2480,0.037574008,False
F1165,0.03691738,False
F367,0.036611367,False
F1058,0.036548004,False
F2894,0.03622069,False
F3787,0.035221767,False
F1598,0.03491251,False
F261,0.034885734,False
F125,0.03470863,False
F1209,0.034604706,False
F1968,0.03452162,False
F3600,0.034473285,False
F2543,0.03443084,False
F1815,0.03431482,False
F1819,0.034202307,False
F1802,0.03387332,False
F2886,0.033783592,False
NA_COUNT,0.033718675,False
F3796,0.03306812,False
F2290,0.03305185,False
F64,0.032403603,False
F3872,0.03217411,False
F1489,0.032160673,False
F3808,0.031992793,False
F2074,0.031874903,False
F3840,0.031826533,False
F567,0.03179617,False
F1923,0.031537518,False
F1909,0.031325843,False
F116,0.030520324,False
F1863,0.030495347,False
F2142,0.030463856,False
F3881,0.030447023,False
F2584,0.030270014,False
F1744,0.030047214,False
F1599,0.029967496,False
F471,0.02981015,False
F996,0.029794276,False
F2787,0.029718217,False
F637,0.0294316,False
F2138,0.029381815,False
F469,0.029344482,False
F114,0.02933191,False
F1816,0.029128026,False
F1596,0.029089855,False
F468,0.028786669,False
F3920,0.028643012,False
F3797,0.028581468,False
F2737,0.028572485,True
F3649,0.028416062,False
F1818,0.028282765,False
F2999,0.028186176,False
F3492,0.028180758,False
F228,0.028129622,False
F1261,0.028044691,False
F328,0.027811836,False
F3700,0.027804367,False
F3708,0.027789485,False
F1647,0.027517958,False
F1716,0.02730202,False
F3750,0.027091913,False
F3063,0.026710847,False
F1388,0.026665028,False
F2883,0.026573678,False
F3093,0.026402565,False
F1104,0.026394458,False
F3062,0.02624463,False
F937,0.02622059,False
F1171,0.026190124,False
F2391,0.026177874,False
F3601,0.025848603,False
F1822,0.025782792,False
F3533,0.025279036,False
F2355,0.02505929,False
F465,0.024904186,False
F2367,0.02475569,False
F573,0.024508422,False
F2136,0.024323873,False
F3622,0.024250692,False
F2148,0.02419678,False
F1639,0.023544148,False
F3819,0.023453329,False
F1861,0.023161711,False
F2643,0.02315841,False
F154,0.022977958,False
F421,0.022906922,False
F3818,0.022773044,False
F562,0.022690818,False
F2956,0.022649772,True
F2443,0.022643333,False
F224,0.02241106,False
F3487,0.022322332,False
F2690,0.022221472,False
F2848,0.022142878,False
F1273,0.022014912,False
F524,0.02197687,False
F3537,0.021969793,False
F150,0.021901794,False
F3757,0.021741131,False
F2028,0.02161196,False
F3798,0.021601139,False
F1812,0.021506503,False
F3831,0.021398056,False
F466,0.0213813,False
F1644,0.021344362,False
F3498,0.021210311,False
F2686,0.021071851,False
F2651,0.02104689,False
F1043,0.0210265,False
F2380,0.020786515,False
F1717,0.02064847,False
F2586,0.020501586,False
F3002,0.020497201,False
F3603,0.020120384,False
F1282,0.020081833,False
F598,0.020066865,False
F259,0.020000601,False
F2585,0.019967673,False
F1323,0.019865278,False
F433,0.01979751,False
F1853,0.019782148,False
F1382,0.01977132,False
F2685,0.019649865,False
F2382,0.01961294,False
F568,0.019489149,False
F2682,0.01941181,False
F2234,0.01940425,False
F3800,0.01928417,False
F1927,0.019208482,False
F3751,0.01909568,False
F572,0.019089643,False
F3701,0.018945007,False
F2889,0.018923273,False
F163,0.018696224,False
F2641,0.018616647,False
F570,0.018585537,False
F2783,0.018374817,False
F1383,0.01831541,False
F1249,0.018120883,False
F1755,0.018110374,False
F2549,0.017893126,False
F3871,0.017672254,False
F625,0.01763893,False
F2527,0.017490063,False
F1713,0.017450372,False
F1710,0.01740367,False
F2683,0.017252738,False
F3635,0.017047372,False
F156,0.017035484,False
F1153,0.016921813,False
F1960,0.016907342,False
F1610,0.016730875,False
F2385,0.016682,False
F1166,0.016552854,False
F160,0.016515475,False
F3839,0.016502498,False
F3748,0.01643277,False
F3802,0.016303908,False
F1183,0.016252141,False
F14,0.01616155,False
F1750,0.016145736,False
F2343,0.015862456,False
F3821,0.015706914,False
F3490,0.015634991,False
F166,0.015622302,False
F1522,0.015555731,False
F2076,0.015518596,False
F1177,0.0155008,False
F1825,0.015476769,False
F3824,0.015432738,False
F2348,0.015360777,False
F1601,0.015332375,False
F231,0.015238868,False
F2748,0.015215726,False
F157,0.015142369,False
F1537,0.015032248,False
F3825,0.014827899,False
F2186,0.014723538,False
F152,0.01472181,False
F3106,0.014658232,False
F2254,0.014493802,False
F2040,0.014427348,False
F2484,0.014405064,False
F2259,0.01439053,False
F3804,0.014384831,False
F2189,0.014364662,False
F1824,0.014363223,False
F2176,0.014349182,False
F467,0.014212245,False
F1753,0.014205037,False
F2389,0.014123769,False
F23,0.014120927,False
F2184,0.014072499,False
F2547,0.014071211,False
F1585,0.013976086,False
F2440,0.01389893,False
F1712,0.013860064,False
F2740,0.013828019,False
F459,0.01348549,False
F3139,0.013444622,False
F3899,0.013336893,False
F322,0.0132947285,False
F1852,0.0132372575,False
F3598,0.013236071,False
F3717,0.013231245,False
F1609,0.013172526,False
F2639,0.013166522,False
F2575,0.013039593,False
F2842,0.012981178,False
F112,0.012832651,False
F1858,0.01274936,False
F3809,0.012748726,False
F2779,0.012680658,False
F528,0.01263565,False
F538,0.0126168905,False
F2776,0.012557765,False
F145,0.012555647,False
F3843,0.012551515,False
F2064,0.012464726,False
F1746,0.012431475,False
F1573,0.012392593,False
F3829,0.012389231,False
F2027,0.012380764,False
F2786,0.012310464,False
F193,0.012259827,False
F2247,0.012201984,False
F2450,0.0121925315,False
F2745,0.012134198,False
F556,0.012005679,False
F3606,0.011967173,False
F2781,0.011925136,False
F1594,0.011912258,False
F3636,0.011883512,False
F3594,0.011881739,False
F2351,0.011836267,False
F426,0.011821088,False
F2039,0.01181584,False
F332,0.0118049765,False
F2125,0.011786425,False
F2637,0.011783932,False
F4,0.011778141,False
F2855,0.011664325,False
F358,0.01163102,False
F2286,0.011578684,False
F2851,0.011542663,False
F2481,0.011488834,False
F3112,0.011488378,False
F1754,0.011456146,False
F3784,0.01137794,False
F3096,0.011339787,False
F3599,0.0113298595,False
F3742,0.011323967,False
F196,0.0112896,False
F2478,0.011281804,False
F1215,0.011260717,False
F1491,0.011207231,False
F2387,0.011174988,False
F3888,0.011048966,False
F1246,0.010960932,False
F2038,0.010957741,False
F2143,0.010872833,False
F2716,0.010837054,False
F2681,0.010760456,False
F2649,0.010746902,False
F1757,0.010734867,False
F320,0.010585874,False
F511,0.01057167,False
F2034,0.010523459,False
F334,0.010486596,False
F3816,0.010433189,False
F1370,0.010424691,False
F3485,0.010401334,False
F2642,0.01039437,False
F2675,0.010387383,False
F253,0.010176326,False
F3882,0.010101514,False
F2482,0.010075616,False
F496,0.010060116,False
F2537,0.010016139,False
F3527,0.010003261,False
F2236,0.009958144,False
F3141,0.009932877,False
F2896,0.009921366,False
F268,0.009891643,False
F3900,0.00988692,False
F1963,0.009885364,False
F1703,0.009859427,False
F3078,0.009845303,False
F1919,0.009834596,False
F2144,0.009823236,False
F2145,0.009807625,False
F522,0.009780022,False
F2741,0.009775916,False
F991,0.009754401,False
F2347,0.009730902,False
F439,0.009706029,False
F1318,0.009688849,False
F2062,0.009659635,False
F3822,0.00962986,False
F999,0.009620407,False
F566,0.009584763,False
F2746,0.009583646,False
F3887,0.009555725,True
F527,0.009544399,True
F1431,0.009508858,False
F3541,0.009489504,False
F1045,0.009481565,False
F2487,0.009458256,False
F2688,0.009449374,False
F1509,0.009447916,False
F1087,0.009417905,False
F1704,0.009385308,False
F265,0.009380888,False
F118,0.0093616145,False
F24,0.009323971,False
F2580,0.009286224,False
F1105,0.009267365,False
F3789,0.009250873,False
F2486,0.00924298,False
F3880,0.0092371395,False
F3645,0.009222706,False
F57,0.00920654,False
F3532,0.009195076,False
F1605,0.009142524,False
F3486,0.009138552,False
F2834,0.009096323,False
F1938,0.009069619,False
F2253,0.009060985,False
F1933,0.009056934,False
F161,0.009014734,False
F1970,0.008938947,False
F2346,0.008899131,False
F3835,0.00880562,False
F1817,0.008777595,False
F2141,0.008765403,False
F3743,0.008714713,False
F3043,0.008711815,True
F1820,0.008691751,False
F533,0.0086809015,False
F847,0.00862021,False
F3827,0.008574365,False
F2384,0.008525802,False
F3065,0.0084552085,False
F2386,0.008436296,False
F2427,0.008429892,False
F2548,0.008384775,False
F448,0.008376631,False
F1967,0.008374799,False
F162,0.008342842,False
F2454,0.008333954,False
